Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
74,6317135375,"ООО СЗ ""ШАРД 63""",САМАРСКАЯ,Малое предприятие,"443099, САМАРСКАЯ, САМАРА, СТЕПАНА РАЗИНА, 94А, 17",584.528,314.318,416.373,53.772958694878604,53.18745,50.08601,"53.18745,50.08601",address
75,7706442589,"ООО ""ПРОМИНВЕСТСТРОЙ-У""",МОСКВА,Малое предприятие,"117105, МОСКВА, 1-Й НАГАТИНСКИЙ, 6, 1, 111",258.641,313.839,406.115,121.34155064355612,55.6810025,37.632703,"55.681002,37.632703",address
76,7130031154,"ООО""СМК""",ИВАНОВСКАЯ,Среднее предприятие,"153510, ИВАНОВСКАЯ, КОХМА, ОКТЯБРЬСКАЯ, 49А, 2/1",2478.705,311.79,401.089,12.57874575635261,56.9277355,41.1039869,"56.927736,41.103987",address
77,2315993797,"ООО ""ЭЛЬМА""",КРАСНОДАРСКИЙ,Малое предприятие,"353960, КРАСНОДАРСКИЙ, НОВОРОССИЙСК, СПОРТИВНАЯ, 2В, 39",2094.345,311.266,416.575,14.86221229071619,44.7431625,37.7233984,"44.743162,37.723398",address
78,7325124442,"ООО ""СЗ РЕНТ-СЕРВИС""",ВОЛГОГРАДСКАЯ,Малое предприятие,"400138, ВОЛГОГРАДСКАЯ, ВОЛГОГРАД, ИМ. СОЛНЕЧНИКОВА, 11, 1",6393.067,307.729,446.682,4.813479977606992,48.6626419,44.4134106,"48.662642,44.413411",address
79,3123228160,"ООО ""СЛАВЯНСТРОЙ""",БЕЛГОРОДСКАЯ,Среднее предприятие,"308015, БЕЛГОРОДСКАЯ, БЕЛГОРОД, НАРОДНЫЙ, 111, 508",2168.588,302.841,346.483,13.964893285400453,50.6022137,36.5732166,"50.602214,36.573217",address
80,7105523240,"ООО ""ВНЕШСТРОЙЦЕНТР""",ТУЛЬСКАЯ,Малое предприятие,"300001, ТУЛЬСКАЯ, ТУЛА, ДЕМИДОВСКАЯ ПЛОТИНА, 27",4.537,300.337,391.775,6619.726691646463,54.2018613,37.6309422,"54.201861,37.630942",address
81,7721506798,"ООО ""ЛАНДШАФТПРОЕКТ""",МОСКВА,Среднее предприятие,"127006, МОСКВА, ВОРОТНИКОВСКИЙ, 8, 1, I К 10 ОФ 1 РМ 2/3",1668.97,297.916,377.82,17.850290897978994,55.625578,37.6063916,"55.625578,37.606392",city_or_region
82,5260363213,"ООО ""ХАЙ-ТЕК БИЛДИНГ""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603163, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, КАЗАНСКОЕ, 2, 1, 143",2433.636,290.816,382.349,11.949856100090564,56.295611,44.081578,"56.295611,44.081578",address
83,7801643052,"ООО ""СК ""СЕГМЕНТА""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"197022, САНКТ-ПЕТЕРБУРГ, ПРОФЕССОРА ПОПОВА, 23, М, 16Н ОФИС 8",278.306,284.436,209.868,102.20261151394507,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
