Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
32,7714299854,"ООО ""МАТЕН""",МОСКВА,Среднее предприятие,"123308, МОСКВА, МНЁВНИКИ, 3, 1, 1 ПОМ II КОМ 1-5,10,11",1730.12,524.654,722.757,30.324717360645504,55.625578,37.6063916,"55.625578,37.606392",city_or_region
33,7840100451,"ООО ""СИТИ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"191036, САНКТ-ПЕТЕРБУРГ, ЛИГОВСКИЙ, 43-45, Б, 6Н,13",3049.487,519.906,662.707,17.048965940828737,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
34,5638065294,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЖИЛСТРОЙИНВЕСТ""",ОРЕНБУРГСКАЯ,Малое предприятие,"460525, ОРЕНБУРГСКАЯ, ОРЕНБУРГСКИЙ, БЛАГОСЛОВЕНКА, КООПЕРАТИВНАЯ, 43",508.757,519.211,144.626,102.05481202224244,51.7144111,55.3198137,"51.714411,55.319814",address
35,6316203463,"ООО ""СЗ ""КОМПАНИЯ ВЛАДИМИР""",САМАРСКАЯ,Малое предприятие,"443086, САМАРСКАЯ, САМАРА, РЕВОЛЮЦИОННАЯ, 77",105.608,516.174,658.269,488.7641087796379,53.213809,50.167023,"53.213809,50.167023",address
36,1639056866,"ООО ""ПСК КАМА""",ТАТАРСТАН,Малое предприятие,"423877, ТАТАРСТАН, ТУКАЕВСКИЙ, МАГИСТРАЛЬНАЯ, 1",3696.606,513.641,639.746,13.894934975488326,55.6717027,52.1319504,"55.671703,52.13195",address
37,7203455253,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГК АТЛАНТ""",ТЮМЕНСКАЯ,Малое предприятие,"625051, ТЮМЕНСКАЯ, ТЮМЕНЬ, ПЕРМЯКОВА, 57, 6",2211.556,513.015,646.009,23.19701603757716,57.1164109,65.5772105,"57.116411,65.577211",address
38,7202151894,"ООО ""СТРОЙ КАПИТАЛ""",ТЮМЕНСКАЯ,Среднее предприятие,"625031, ТЮМЕНСКАЯ, Тюмень, ДРУЖБЫ, 73, 4, 2",4008.196,498.393,648.616,12.434347022949975,57.1838353,65.5632067,"57.183835,65.563207",address
39,6658399875,"ООО ""ПГС""",СВЕРДЛОВСКАЯ,Среднее предприятие,"620149, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, НАЧДИВА ОНУФРИЕВА, 10, 5",7478.173,483.494,606.575,6.465402712667919,56.8038236,60.5476021,"56.803824,60.547602",address
40,5506004658,"ООО ""ТОБОЛ""",ОМСКАЯ,Среднее предприятие,"644027, ОМСКАЯ, ОМСК, 1-Я ИНДУСТРИАЛЬНАЯ, 7",2812.609,479.229,638.972,17.038592993195998,54.965483,73.4457595,"54.965483,73.44576",address
41,4028051443,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""КАЛУГА-ЛИДЕР""",КАЛУЖСКАЯ,Малое предприятие,"248021, КАЛУЖСКАЯ, КАЛУГА, БИЛИБИНА, 6, 4, КОМНАТА 20",677.629,468.569,715.567,69.14830976832455,54.5101087,36.2598115,"54.510109,36.259812",city_or_region
42,6623099687,"ООО ГК ""УРАЛСТРОЙКОМПЛЕКС""",СВЕРДЛОВСКАЯ,Малое предприятие,"622013, СВЕРДЛОВСКАЯ, НИЖНИЙ ТАГИЛ, КУЛИБИНА, 62, 7",5869.538,453.372,664.829,7.724151372731551,57.901006,60.0011136,"57.901006,60.001114",address
43,5404523005,"ООО ""ИНВЕСТТЭК""",НОВОСИБИРСКАЯ,Малое предприятие,"630054, НОВОСИБИРСКАЯ, НОВОСИБИРСК, ТИТОВА, 31/1",831.391,453.199,603.962,54.51093408516571,54.9810193,82.8685415,"54.981019,82.868542",address
44,7830001934,"ЗАО ""ТРЕСТ 101""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"195248, САНКТ-ПЕТЕРБУРГ, УМАНСКИЙ, 71, А, 159",3154.804,452.183,611.667,14.333156671539657,59.9643084,30.4519003,"59.964308,30.4519",address
45,5410112902,"ООО ""ЭНЕРГОМОНТАЖ""",НОВОСИБИРСКАЯ,Среднее предприятие,"630061, НОВОСИБИРСКАЯ, НОВОСИБИРСК, ТЮЛЕНИНА, 26",295.632,451.347,441.299,152.67190290631595,55.1114067,82.9358687,"55.111407,82.935869",address
46,1717008397,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ЭНЕРГОСТРОЙ""",ТЫВА,Малое предприятие,"667004, ТЫВА, КЫЗЫЛ, КОЛХОЗНАЯ, 2А",1106.872,449.371,598.924,40.59828055999248,51.7094525,94.5160789,"51.709452,94.516079",address
47,7736565404,"АО ""МНЦЭС-КАПСТРОЙ""",МОСКОВСКАЯ,Малое предприятие,"141280, МОСКОВСКАЯ, ПУШКИНО, ИВАНТЕЕВКА, ФАБРИЧНЫЙ, 1Д",928.119,432.799,702.793,46.6318435459246,55.98029,37.894329,"55.98029,37.894329",address
48,3128001437,"АО СЗ ""КМАПЖС""",БЕЛГОРОДСКАЯ,Среднее предприятие,"309511, БЕЛГОРОДСКАЯ, СТАРЫЙ ОСКОЛ, ОЛИМПИЙСКИЙ, 62",1501.372,420.505,174.178,28.008048638178945,51.3068411,37.8905332,"51.306841,37.890533",address
49,7733801886,"ООО ""ИНВЕСТСТРОЙ""",МОСКВА,Малое предприятие,"125362, МОСКВА, СВОБОДЫ, 31, 1, 2/3",2501.615,408.945,516.244,16.347239683164673,55.837695,37.4538245,"55.837695,37.453824",address
50,5256129066,"ООО ""СЗ ""ТЕРМИНАЛ СК""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603004, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, ЛЕНИНА, 100Г, 203",143.477,398.866,516.599,277.99995818145067,56.2483672,43.8759203,"56.248367,43.87592",address
51,5503113553,"ООО СК ""АНА""",КРАСНОДАРСКИЙ,Среднее предприятие,"354395, КРАСНОДАРСКИЙ, СОЧИ, ГАСТЕЛЛО, 23А, 46",2179.073,398.086,460.568,18.268594030580893,43.4564031,39.9173842,"43.456403,39.917384",address
52,7716686312,"ООО ""СТРОЙТЕХСТАНДАРТ""",МОСКВА,Малое предприятие,"117587, МОСКВА, ВАРШАВСКОЕ, 125Д, 1, 307",1153.433,395.468,525.705,34.28617006796234,55.6223935,37.6228888,"55.622394,37.622889",address
53,6671388294,"ООО ""УТПК""",СВЕРДЛОВСКАЯ,Малое предприятие,"620000, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, МАЛЫШЕВА, 51, 25 ПОМЕЩЕНИЕ 1",1201.615,393.251,495.704,32.72687175176741,56.8382071,60.6007886,"56.838207,60.600789",city_or_region
54,2801130630,"ООО ""АПИН""",АМУРСКАЯ,Малое предприятие,"675001, АМУРСКАЯ, БЛАГОВЕЩЕНСК, ПИОНЕРСКАЯ, 66/1",1000.49,393.088,522.631,39.2895481214205,50.2649274,127.5326329,"50.264927,127.532633",address
55,6673149728,"ООО ""ДРУЖБА Н""",ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,Малое предприятие,"628242, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, СОВЕТСКИЙ, СОВЕТСКИЙ, 5-Й, 3",3077.613,392.471,497.466,12.75244808232874,61.3591713,63.5671271,"61.359171,63.567127",address
56,2128007123,"АО ""СЗ ""СТРОЙТРЕСТ №3""",ЧУВАШСКАЯ РЕСПУБЛИКА -,Среднее предприятие,"428000, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, ЯРОСЛАВСКАЯ, 76, 312",2877.066,389.007,468.423,13.520961980017143,56.0984586,47.268959,"56.098459,47.268959",city_or_region
57,6670115960,"ООО ""ВМП - ИНЖИНИРИНГ""",СВЕРДЛОВСКАЯ,Малое предприятие,"620016, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, АМУНДСЕНА, 105, 8",3690.94,388.733,525.898,10.532086677106644,56.7707061,60.5433276,"56.770706,60.543328",address
58,3123378447,"ООО ""ЭРИОНСТРОЙГРУПП""",БЕЛГОРОДСКАЯ,Малое предприятие,"308019, БЕЛГОРОДСКАЯ, БЕЛГОРОД, ГОРЬКОГО, 54Б, 1",2594.176,384.609,517.494,14.825863781023338,50.572641,36.5613325,"50.572641,36.561332",address
59,7204034836,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ТЮМЕНЬСТРОЙ""",ТЮМЕНСКАЯ,Малое предприятие,"625501, ТЮМЕНСКАЯ, ТЮМЕНСКИЙ, МОСКОВСКИЙ, БУРЛАКИ, 23Б, 2",1462.226,383.267,417.49,26.211201278051412,57.103912,65.4301738,"57.103912,65.430174",address
60,7719694625,"ООО ""КАСКАД""",МОСКВА,Малое предприятие,"115230, МОСКВА, ВАРШАВСКОЕ, 42",3735.717,382.747,468.46,10.24561014659301,55.6760155,37.6249807,"55.676016,37.624981",address
61,7713030755,"ЗАО ПТФ ""КУЛОН""",МОСКВА,Малое предприятие,"111402, МОСКВА, 8 МАРТА, 14",520.134,379.57,524.252,72.97542556341251,55.8061875,37.5499467,"55.806188,37.549947",address
62,9201004259,"ООО ""СЗ ""РИЧ-ПЛЮС""",КРЫМ,Малое предприятие,"295000, КРЫМ, СИМФЕРОПОЛЬ, СУВОРОВСКИЙ, 5",1083.734,377.998,484.791,34.879223130399154,44.9596091,34.0903827,"44.959609,34.090383",address
63,6514009098,"ООО ""ЛИДЕР-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",САХАЛИНСКАЯ,Среднее предприятие,"694350, САХАЛИНСКАЯ, СМИРНЫХОВСКИЙ, СМИРНЫХ, ПИРОГОВА, 4В",1033.238,370.239,425.89,35.83288651791746,49.7462544,142.830099,"49.746254,142.830099",address
64,7733263469,"ООО ""ИНФО ТЕХ""",МОСКВА,Малое предприятие,"115172, МОСКВА, КРАСНОХОЛМСКАЯ, 1/15, 1",7603.829,357.231,480.01,4.6980409475278835,55.7362644,37.6511952,"55.736264,37.651195",address
65,5040155680,"ООО ""РСБ КОНСТРАКШН""",МОСКОВСКАЯ,Малое предприятие,"140104, МОСКОВСКАЯ, РАМЕНСКОЕ, ВЫСОКОВОЛЬТНАЯ, 21, 4",2226.293,356.734,471.286,16.023677027237653,55.569055,38.1932416,"55.569055,38.193242",address
66,6506009908,"ООО""ТЕХНОДОР""",САХАЛИНСКАЯ,Малое предприятие,"694496, САХАЛИНСКАЯ, ОХИНСКИЙ, ОХА, КРАСНОАРМЕЙСКАЯ, 28",713.592,355.445,455.47,49.81067612865615,53.5877208,142.9443614,"53.587721,142.944361",address
67,7736573934,"ООО ""ПО СК""",МОСКОВСКАЯ,Малое предприятие,"142821, МОСКОВСКАЯ, СТУПИНО, ШМАТОВО, ИНДУСТРИАЛЬНАЯ, 4, 1, 1/2",846.895,351.992,491.496,41.56264944296518,55.0046809,38.0632374,"55.004681,38.063237",address
68,8901016434,"ООО ""ЯМАЛЖИЛСТРОЙ""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629003, ЯМАЛО-НЕНЕЦКИЙ, САЛЕХАРД, АВИАЦИОННАЯ, 33, 1, -",1081.318,350.763,407.232,32.43846860960421,66.5970689,66.5758724,"66.597069,66.575872",address
69,5321207013,"ООО ""СЗ ""ПРОЕКТСТРОЙ""",НОВГОРОДСКАЯ,Малое предприятие,"173003, НОВГОРОДСКАЯ, ВЕЛИКИЙ НОВГОРОД, БОЛЬШАЯ САНКТ-ПЕТЕРБУРГСКАЯ, 74, 302",768.512,330.024,383.179,42.943246169220515,58.5475403,31.2732,"58.54754,31.2732",address
70,5905026364,"ООО ПСК""СТРОЙУРАЛ""",ПЕРМСКИЙ,Малое предприятие,"614065, ПЕРМСКИЙ, ПЕРМЬ, РАЗВЕДЧИКОВ, 38",1173.587,328.889,423.69,28.02425384739265,57.9597908,56.1587046,"57.959791,56.158705",address
71,7710866012,"ООО ""СМУ МОСКОВИЯ""",МОСКВА,Малое предприятие,"111024, МОСКВА, 2-Я КАБЕЛЬНАЯ, 2, 4, 4, ПОМ. XXI, КОМН. 29",3225.526,328.16,389.683,10.17384451404205,55.625578,37.6063916,"55.625578,37.606392",city_or_region
72,7202204320,"ООО ""МИР""",НОВОСИБИРСКАЯ,Малое предприятие,"630124, НОВОСИБИРСКАЯ, НОВОСИБИРСК, ВОЛОЧАЕВСКАЯ, 64, 1, 389В",1154.606,327.572,422.954,28.37089015646896,55.0520224,82.9998989,"55.052022,82.999899",address
73,7725760555,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ОБЪЕКТСТРОЙ""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603104, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, КРАСНОЗВЕЗДНАЯ, 39, 1, П3 КОМНАТА 3",1234.491,317.74,407.926,25.73854325385928,56.2835624,43.9867487,"56.283562,43.986749",address
